dob_yy,dob_mm,apgar5,births
1983,10,10,54785
1983,10,2,342
1983,10,3,324
1983,10,4,489
1983,10,5,878
1983,10,6,1910
1983,10,7,4601
1983,10,8,19586
1983,10,9,142818
1983,10,99,53714
1983,11,0,152
1983,11,1,535
1983,11,10,51090
1983,11,2,322
1983,11,3,293
1983,11,4,427
1983,11,5,802
1983,11,6,1707
1983,11,7,4426
1983,11,8,19143
1983,11,9,137188
1983,11,99,50658
1983,12,0,142
1983,12,1,448
1983,12,10,52689
1983,12,2,284
1983,12,3,316
1983,12,4,430
1983,12,5,827
1983,12,6,1711
1983,12,7,4460
1983,12,8,19390
1983,12,9,140824
1983,12,99,52315
1983,2,0,135
1983,2,1,471
1983,2,10,53119
1983,2,2,335
1983,2,3,350
1983,2,4,445
1983,2,5,776
1983,2,6,1700
1983,2,7,4200
1983,2,8,18108
1983,2,9,126850
1983,2,99,47748
1983,3,0,144
1983,3,1,542
1983,3,10,59187
1983,3,2,334
1983,3,3,371
1983,3,4,476
1983,3,5,933
1983,3,6,1847
1983,3,7,4672
1983,3,8,20768
1983,3,9,143601
1983,3,99,52548
1983,4,0,162
1983,4,1,553
1983,4,10,54647
1983,4,2,301
1983,4,3,326
1983,4,4,445
1983,4,5,941
1983,4,6,1744
1983,4,7,4372
1983,4,8,19292
1983,4,9,137228
1983,4,99,49539
1983,5,0,135
1983,5,1,559
1983,5,10,57101
1983,5,2,324
1983,5,3,354
1983,5,4,457
1983,5,5,834
1983,5,6,1880
1983,5,7,4720
1983,5,8,19665
1983,5,9,141433
1983,5,99,50886
1983,6,0,152
1983,6,1,548
1983,6,10,56903
1983,6,2,322
1983,6,3,344
1983,6,4,470
1983,6,5,832
1983,6,6,1882
1983,6,7,4705
1983,6,8,19651
1983,6,9,141872
1983,6,99,51423
1983,7,0,162
1983,7,1,563
1983,7,10,59205
1983,7,2,376
1983,7,3,358
1983,7,4,524
1983,7,5,1023
1983,7,6,1949
1983,7,7,4835
1983,7,8,20766
1983,7,9,147855
1983,7,99,54595
1983,8,0,173
1983,8,1,572
1983,8,10,59418
1983,8,2,351
1983,8,3,385
1983,8,4,485
1983,8,5,947
1983,8,6,1980
1983,8,7,4948
1983,8,8,21005
1983,8,9,150049
1983,8,99,56800
1983,9,0,182
1983,9,1,569
1983,9,10,57234
1983,9,2,362
1983,9,3,298
1983,9,4,500
1983,9,5,892
1983,9,6,1801
1983,9,7,4539
1983,9,8,19905
1983,9,9,146732
1983,9,99,55040
2006,1,0,138
2006,1,1,607
2006,1,10,14208
2006,1,2,339
2006,1,3,367
2006,1,4,489
2006,1,5,935
2006,1,6,1767
2006,1,7,4822
2006,1,8,26162
2006,1,9,245037
2006,1,99,46028
2006,10,0,182
2006,10,1,607
2006,10,10,15068
2006,10,2,388
2006,10,3,402
2006,10,4,518
2006,10,5,888
2006,10,6,1890
2006,10,7,5028
2006,10,8,26672
2006,10,9,265885
2006,10,99,50532
2006,11,0,177
2006,11,1,599
2006,11,10,14311
2006,11,2,368
2006,11,3,377
2006,11,4,497
2006,11,5,859
2006,11,6,1834
2006,11,7,4806
2006,11,8,25420
2006,11,9,254525
2006,11,99,48716
2006,12,0,178
2006,12,1,642
2006,12,10,14407
2006,12,2,315
2006,12,3,379
2006,12,4,535
2006,12,5,852
2006,12,6,1838
2006,12,7,4736
2006,12,8,25545
2006,12,9,258435
2006,12,99,48852
2006,2,0,150
2006,2,1,571
2006,2,10,13517
2006,2,2,317
2006,2,3,336
2006,2,4,495
2006,2,5,794
2006,2,6,1605
2006,2,7,4512
2006,2,8,24357
2006,2,9,230640
2006,2,99,42551
2006,3,0,159
2006,3,1,655
2006,3,10,14849
2006,3,2,346
2006,3,3,370
2006,3,4,516
2006,3,5,906
2006,3,6,1838
2006,3,7,5030
2006,3,8,26999
2006,3,9,257502
2006,3,99,48190
2006,4,0,162
2006,4,1,663
2006,4,10,13657
2006,4,2,345
2006,4,3,357
2006,4,4,473
2006,4,5,861
2006,4,6,1721
2006,4,7,4664
2006,4,8,24993
2006,4,9,238296
2006,4,99,44203
2006,5,0,155
2006,5,1,670
2006,5,10,14603
2006,5,2,350
2006,5,3,392
2006,5,4,492
2006,5,5,944
2006,5,6,1870
2006,5,7,4993
2006,5,8,26797
2006,5,9,256998
2006,5,99,47799
2006,6,0,169
2006,6,1,693
2006,6,10,14755
2006,6,2,403
2006,6,3,389
2006,6,4,542
2006,6,5,960
2006,6,6,1863
2006,6,7,4978
2006,6,8,26618
2006,6,9,259095
2006,6,99,48432
2006,7,0,180
2006,7,1,663
2006,7,10,14984
2006,7,2,373
2006,7,3,433
2006,7,4,578
2006,7,5,991
2006,7,6,1995
2006,7,7,5301
2006,7,8,27445
2006,7,9,265300
2006,7,99,50390
2006,8,0,181
2006,8,1,659
2006,8,10,15806
2006,8,2,412
2006,8,3,408
2006,8,4,557
2006,8,5,1009
2006,8,6,1915
2006,8,7,5251
2006,8,8,28466
2006,8,9,281666
2006,8,99,52151
2006,9,0,172
2006,9,1,626
2006,9,10,15349
2006,9,2,341
2006,9,3,370
2006,9,4,505
2006,9,5,890
2006,9,6,1905
2006,9,7,5071
2006,9,8,27238
2006,9,9,271858
2006,9,99,51064
1991,1,0,188
1991,1,1,539
1991,1,10,36244
1991,1,2,272
1991,1,3,246
1991,1,4,428
1991,1,5,765
1991,1,6,1521
1991,1,7,3990
1991,1,8,18884
1991,1,9,194702
1991,1,99,77724
